metric,value
hough_CER,0.45699456628067187
hough_NAP_S,0.9756831111462071
hough_NAP_tau,2
sift_CER,0.3907601935161431
sift_NAP_S,0.9089715627823061
sift_NAP_tau,2
harris_CER,0.4062658541023954
harris_NAP_S,0.9848911816335458
harris_NAP_tau,2
