metric,value
hough_CER,0.5576568655437065
hough_NAP_S,0.9224520700060367
hough_NAP_tau,2
sift_CER,0.47275733896937805
sift_NAP_S,0.7640573705276062
sift_NAP_tau,2
harris_CER,0.5427601189175435
harris_NAP_S,0.9224520700060367
harris_NAP_tau,2
