metric,value
hsi_CER,0.427362456738529
hsi_NAP_S,0.9741069294243118
hsi_NAP_tau,2
pseudo_CER,0.3103326198539064
pseudo_NAP_S,0.9646600061841712
pseudo_NAP_tau,2
balanced_CER,0.429506080758784
balanced_NAP_S,0.9735914819738526
balanced_NAP_tau,2
